timestamp,gerador,repeticao,seed,amostra,tempo_s,ns_por_numero,qui_quadrado,p_valor,qualidade,rss_processo_mb,vms_processo_mb,rss_processo_mb_antes,loadavg_1min,loadavg_5min,loadavg_15min,memoria_total_gb,memoria_disponivel_gb,memoria_utilizada_percent,cpu_fisicas,cpu_logicas,hostname,sistema,release,arquitetura,python_versao
2026-04-16T15:34:00,GNPA original,1,2754794679,1000,0.008300333,8300.333000000,76.480000000,0.118402888,compatível com aleatoriedade uniforme,73.750000,425374.703125,73.578125,1.494140625,1.94970703125,2.1455078125,8.000000,1.586273,80.20,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,2,1899526012,1000,0.008429000,8429.000000000,79.680000000,0.076329666,compatível com aleatoriedade uniforme,73.796875,425374.703125,73.750000,1.494140625,1.94970703125,2.1455078125,8.000000,1.586182,80.20,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,3,2328685183,1000,0.008156416,8156.416000000,61.376000000,0.534415984,compatível com aleatoriedade uniforme,73.796875,425374.703125,73.796875,1.494140625,1.94970703125,2.1455078125,8.000000,1.583969,80.20,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,4,3049235403,1000,0.008136750,8136.750000000,82.624000000,0.049272538,possível viés estatístico,73.796875,425374.703125,73.796875,1.494140625,1.94970703125,2.1455078125,8.000000,1.582993,80.20,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,5,4265654401,1000,0.008042708,8042.708000000,67.136000000,0.337310332,compatível com aleatoriedade uniforme,73.796875,425374.703125,73.796875,1.494140625,1.94970703125,2.1455078125,8.000000,1.582367,80.20,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,6,3877454337,1000,0.008054000,8054.000000000,49.728000000,0.888165132,compatível com aleatoriedade uniforme,73.796875,425374.703125,73.796875,1.494140625,1.94970703125,2.1455078125,8.000000,1.574661,80.30,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,7,3621740338,1000,0.008148958,8148.958000000,59.072000000,0.617046760,compatível com aleatoriedade uniforme,73.812500,425374.703125,73.796875,1.494140625,1.94970703125,2.1455078125,8.000000,1.572769,80.30,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,8,3939616297,1000,0.008075583,8075.583000000,82.624000000,0.049272538,possível viés estatístico,73.812500,425374.703125,73.812500,1.494140625,1.94970703125,2.1455078125,8.000000,1.572449,80.30,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,9,3486370663,1000,0.008023708,8023.708000000,40.512000000,0.987679658,compatível com aleatoriedade uniforme,73.812500,425374.703125,73.812500,1.494140625,1.94970703125,2.1455078125,8.000000,1.570969,80.40,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,10,2585712915,1000,0.008136667,8136.667000000,55.360000000,0.742220949,compatível com aleatoriedade uniforme,73.812500,425374.703125,73.812500,1.494140625,1.94970703125,2.1455078125,8.000000,1.570587,80.40,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,1,2754794679,10000,0.082605625,8260.562500000,72.934400000,0.183777986,compatível com aleatoriedade uniforme,74.109375,425374.953125,73.843750,1.494140625,1.94970703125,2.1455078125,8.000000,1.536575,80.80,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,2,1899526012,10000,0.083591166,8359.116600000,71.526400000,0.215759829,compatível com aleatoriedade uniforme,74.390625,425375.203125,74.109375,1.494140625,1.94970703125,2.1455078125,8.000000,1.532455,80.80,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,3,2328685183,10000,0.082392292,8239.229200000,51.686400000,0.844968156,compatível com aleatoriedade uniforme,74.500000,425375.203125,74.390625,1.494140625,1.94970703125,2.1455078125,8.000000,1.531906,80.90,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,4,3049235403,10000,0.082574792,8257.479200000,68.608000000,0.293045260,compatível com aleatoriedade uniforme,74.500000,425375.203125,74.500000,1.494140625,1.94970703125,2.1455078125,8.000000,1.544800,80.70,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,5,4265654401,10000,0.083958458,8395.845800000,56.153600000,0.716862117,compatível com aleatoriedade uniforme,74.500000,425375.203125,74.500000,1.494140625,1.94970703125,2.1455078125,8.000000,1.544388,80.70,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:00,GNPA original,6,3877454337,10000,0.081573125,8157.312500000,60.569600000,0.563455961,compatível com aleatoriedade uniforme,74.500000,425375.203125,74.500000,1.494140625,1.94970703125,2.1455078125,8.000000,1.544357,80.70,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:01,GNPA original,7,3621740338,10000,0.081895291,8189.529100000,49.228800000,0.897799518,compatível com aleatoriedade uniforme,74.500000,425375.203125,74.500000,1.494140625,1.94970703125,2.1455078125,8.000000,1.543396,80.70,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:01,GNPA original,8,3939616297,10000,0.081229833,8122.983300000,65.164800000,0.401309760,compatível com aleatoriedade uniforme,74.500000,425375.203125,74.500000,1.494140625,1.94970703125,2.1455078125,8.000000,1.543533,80.70,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:01,GNPA original,9,3486370663,10000,0.081262250,8126.225000000,69.606400000,0.264975448,compatível com aleatoriedade uniforme,74.500000,425375.203125,74.500000,1.494140625,1.94970703125,2.1455078125,8.000000,1.543579,80.70,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:01,GNPA original,10,2585712915,10000,0.081331667,8133.166700000,63.142400000,0.471260603,compatível com aleatoriedade uniforme,74.500000,425375.203125,74.500000,1.494140625,1.94970703125,2.1455078125,8.000000,1.542480,80.70,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
